"id","original_title","popularity","video","adult","imdb_id","backdrop_path","belongs_to_collection","budget","homepage","original_language","overview","poster_path","release_date","revenue","runtime","status","tagline","title","vote_average","vote_count"
6477,Alvin and the Chipmunks,77.739,false,false,tt0952640,/lKkkogTlIQT8o83GFQZZ3CA9MzB.jpg,,60000000,http://www.chipmunks.com/,en,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",/wEssFe5LCywsLfAcwELVXE38Fbj.jpg,"2007-12-13",361366633,92,Released,The Original Entourage,Alvin and the Chipmunks,,
8920,Garfield,87.037,false,false,tt0356634,/6SSEa1OfqrHGg7XTLNTxbyyioRB.jpg,,50000000,null,en,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn`t want. Competition.",/5hKlKh62yIR03XHZxwFs3EaIFfD.jpg,"2004-06-10",200804534,80,Released,Get ready for frisky business.,Garfield,,
12536,Home Alone 4,61.566,false,false,tt0329200,/6gvocf4kU9qJyUVZEDveOtLkaMu.jpg,,0,null,en,"Kevin McCallister`s parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father`s rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie`s mansion.",/lL2Ri3PHs9V1ot3V8ZUvrtFgj9h.jpg,"2002-11-03",0,84,Released,null,Home Alone 4,,
13971,Wild Child,63.617,false,false,tt1024255,/zjobTF54Z1P1hpa3w2RePqL42is.jpg,,20000000,null,en,"Sixteen-year-old Poppy has everything her unlimited credit cards can buy, and a spoiled attitude to match. After a final thoughtless prank, her exasperated father ships her off to boarding school in England. There, Poppy meets her match in a stern headmistress and a class full of girls who will not tolerate her selfishness.",/xwbFEPubG4wroLDZdmTWRGNnnWf.jpg,"2008-08-15",21972336,98,Released,New Girl. New School. New Rules.,Wild Child,,
14543,The Matrix Revisited,78.574,false,false,tt0295432,/lBdXACywnLwKUZmZkZ87djDQBeV.jpg,,0,null,en,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,/fNG2JOskhQnttmAaj2knM5h59Io.jpg,"2001-11-19",0,123,Released,null,The Matrix Revisited,,
15092,Crank: High Voltage,188.235,false,false,tt1121931,/4K57Vd78y3pMsAAfOdZYATTqnL3.jpg,,20000000,http://www.crank2.com/,en,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,/tzTC4EEvF0OPL63frEiogxL2T8M.jpg,"2009-04-16",34560577,96,Released,"Stay Charged, Stay Alive!",Crank: High Voltage,,
737676,The ExorSIS,140.34,false,false,null,/6JB4hJdCrBMnd84U7ODnnEyjpOi.jpg,,0,null,tl,"The film follows Gina, who must find an exorcist after her younger sister gets possessed by a dead woman’s spirit.",/eaVBPFOtANW5gkNWRCXlB2SjaLo.jpg,"2021-12-25",0,114,Released,null,The ExorSIS,,
9714,Home Alone 3,77.582,false,false,tt0119303,/zG8CP8iRhLo7BNBsma6GfP6gkRF.jpg,,32000000,http://www.ha3.com/,en,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",/6uOadrCfle0n2LOOxHbgWEdnrm2.jpg,"1997-12-12",79082515,102,Released,Ready for more. Much more.,Home Alone 3,,
9948,The Fox and the Hound 2,67.193,false,false,tt0465997,/tJRbPH8Q0divR3UkdpVxmNcd1YE.jpg,,24000000,null,en,"Best friends Tod, a fox kit, and Copper, a hound puppy, visit a country fair when they see a band of dogs called ""The Singin` Strays"". The band has five members: Dixie, Cash, Granny Rose, and twin brothers Waylon and Floyd. It is important that they perform well because a talent scout is visiting.",/o3b8nenAzu5OJk7sbPJURwmeHSV.jpg,"2006-11-09",0,69,Released,Old Friends New Adventure,The Fox and the Hound 2,,
10112,The Aristocats,57.353,false,false,tt0065421,/dH0bFzcpDcmCeGvSOGerolxHIkF.jpg,,4000000,null,en,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",/1BVOSmQUhphMgnTxnXyfQ9tL1Sc.jpg,"1970-12-24",55675257,78,Released,A tune-filled animated extravaganza.,The Aristocats,,
10358,Zack and Miri Make a Porno,134.146,false,false,tt1007028,/z81ZWXB0RNj6IRrYP9ckQh2KyB9.jpg,,24000000,http://www.zackandmiri.com,en,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",/40qxr2p2s297Q1mWFJOsRatQPK0.jpg,"2008-09-18",42105111,102,Released,What would you do to get out of debt?,Zack and Miri Make a Porno,,
10567,Dinosaur,87.203,false,false,tt0130623,/laeEtakR2pLKu3CeRwB2lU5Y53X.jpg,,127500000,null,en,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,/rSje3FS7ycJSglowlngjsvDt7vO.jpg,"2000-05-19",354248063,82,Released,You have never seen anything like this.,Dinosaur,,
11324,Shutter Island,50.032,false,false,tt1130884,/8xt8AMb1OKC63AdhNSaYBWxB4Iq.jpg,,80000000,http://www.shutterisland.com/,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",/52d7CAjnwh1cZXd2lhKaHVFMu0Q.jpg,"2010-02-14",294800000,138,Released,Some places never let you go.,Shutter Island,,
11836,The SpongeBob SquarePants Movie,67.361,false,false,tt0345950,/5qWtPhMLxY7cS1GkAvJZlPKgNPd.jpg,,30000000,null,en,"There`s trouble brewing in Bikini Bottom. Someone has stolen King Neptune`s crown, and it looks like Mr. Krab, SpongeBob`s boss, is the culprit. Though he`s just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab`s life.",/6sgo6TCakeL4KFwwcJyvkZ7zhMX.jpg,"2004-11-14",140161792,87,Released,Bigger. Better. More absorbent.,The SpongeBob SquarePants Movie,,
17610,Year One,59.681,false,false,tt1045778,/21RU5YYiLk3UVF9lRhf2fs1tRUK.jpg,,60000000,null,en,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",/thbOE3y9cXqRIeGYSyPP0nYFGz5.jpg,"2009-06-18",62357900,97,Released,Meet your ancestors,Year One,,
18823,Clash of the Titans,104.763,false,false,tt0800320,/6cRukOzzqAo2El0wn3F5RDZIoyp.jpg,,125000000,http://www.clash-of-the-titans.com/,en,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,"2010-03-31",493214993,106,Released,Titans will clash.,Clash of the Titans,,
20222,Sexo con amor,97.195,false,false,tt0363292,null,,0,null,es,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",/ub91ikhfzCWF3bfmWLqwN8I4q1Z.jpg,"2003-03-27",0,108,Released,null,Sex with Love,,
22894,Legion,185.181,false,false,tt1038686,/5739NMdQF4HObAywXCNzPar7HTt.jpg,,26000000,http://www.legionmovie.com,en,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity`s only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg,"2010-01-21",67918658,100,Released,"When the last angel falls, the fight for mankind begins.",Legion,,
23629,Sucker Punch,87.041,false,false,tt0978764,/qSL3dh4QaaZ02dktTmfTDW6caMh.jpg,,82000000,http://suckerpunchmovie.warnerbros.com,en,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",/8oBc33JEnYm3rqPIwGtQXQbP96j.jpg,"2011-03-24",89792502,110,Released,You will be unprepared.,Sucker Punch,,
26123,American Pie Presents: The Book of Love,114.985,false,false,tt1407050,/vVpPX97LFI19u56tgEP5eObqgBx.jpg,,7000000,null,en,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.",/hwP0GEP0zy8ar965Xaht19SmMd3.jpg,"2009-06-18",5021219,93,Released,null,American Pie Presents: The Book of Love,,
30636,La Luna,72.358,false,false,tt0079495,/8KwuXRgpjE5zCKXGOtmuCBUZnWy.jpg,,0,null,it,"While touring in Italy, a recently-widowed American opera singer has an incestuous relationship with her 15-year-old son to help him overcome his heroin addiction.",/69HNOB21IINYXU8fQodh0tNZ1ad.jpg,"1979-08-29",0,142,Released,Between a mother and son. Between the delicate boundaries of love.,La Luna,,
33273,Celda 211,103.185,false,false,tt1242422,/kujUJjGGKNN2d7G5NcCnplZPfGd.jpg,,5700000,null,es,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",/koap5B3bQHQi3yaZ39vpWR66TGP.jpg,"2009-11-06",19300483,110,Released,"To survive inside, he has to become one of them.",Cell 211,,
34134,Barbie in A Mermaid Tale,52.403,false,false,tt1610301,/nX6OlpBCqnJFVj4tRL1YLQNdBHE.jpg,,0,null,en,"Barbie stars as Merliah, a surfer who learns a shocking secret: she`s a mermaid! She and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of Oceana.",/jtOlo3AaXVBnqfMeKGFrZUMPFui.jpg,"2010-01-25",16441438,75,Released,null,Barbie in A Mermaid Tale,,
37430,Conan the Barbarian,72.822,false,false,tt0816462,/cEDVuva84jaMw8MxGhAJbSfLnHE.jpg,,90000000,null,en,"A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.",/vR6PzXsOfewD1kei8gMbepvwWC6.jpg,"2011-08-17",63523283,113,Released,Enter an age undreamed of,Conan the Barbarian,,
38055,Megamind,57.694,false,false,tt1001526,/irpJXGiVr539uuspcQcNdkhS2lq.jpg,,130000000,http://www.megamind.com,en,"Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",/7l5OY9oeJyaB2XJKrg0du7pmi1C.jpg,"2010-10-28",321885765,96,Released,His brain is off the chain.,Megamind,,
39103,ドラゴンボールZ 激突!!100億パワーの戦士たち,85.802,false,false,tt0142237,/l1H7adqYhxBrBK45aKAzqm6nIVC.jpg,,0,null,ja,Cooler has resurrected himself as a robot and is enslaving the people of New Namek. Goku and the gang must help.,/zJn14ySh0NTZCOIReQZiWE1fkje.jpg,"1992-03-07",19581369,46,Released,null,Dragon Ball Z: The Return of Cooler,,
39101,ドラゴンボールZ 地球まるごと超決戦,95.051,false,false,tt0142233,/s0XaJEApAfgMgKUBy6UfOnNTtwR.jpg,,0,null,ja,Goku and friends must stop a band of space pirates from consuming fruit from the Tree of Might before it`s destructive powers drain Earth`s energy.,/fDX4Dp8IKvjBAaEb5MOJrGkxWX0.jpg,"1990-06-07",0,61,Released,null,Dragon Ball Z: The Tree of Might,,
57165,Wrath of the Titans,84.495,false,false,tt1646987,/s7VNgGkbgX2ZB8ctDBJXDBq7yt7.jpg,,150000000,http://www.wrathofthetitansmovie.org,en,"Perseus tries to live a quieter life as a village fisherman while - dangerously weakened by humanity`s lack of devotion - the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,"2012-03-28",301970083,99,Released,Feel the Wrath,Wrath of the Titans,,
62211,Monsters University,74.076,false,false,tt1453405,/mIpCxBWNz6SHCQBe2K2PFr5MB7f.jpg,,200000000,null,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren`t necessarily the best of friends.,/upaMBEonGeZGQc3xtUVZOfe1lGl.jpg,"2013-06-19",743559607,104,Released,School never looked this scary.,Monsters University,,
70981,Prometheus,106.789,false,false,tt1446714,/hO97RyNjBIMfzfFpUjNhsm4zImh.jpg,,130000000,https://www.20thcenturystudios.com/movies/prometheus,en,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,"2012-05-30",403170142,124,Released,The Search for Our Beginning Could Lead to Our End.,Prometheus,,
72105,Ted,123.004,false,false,tt1637725,/y4Nyby674jtsbYLzVx1lSgaz1WB.jpg,,50000000,http://www.tedisreal.com/,en,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",/osJNr64CNyGhCzdlg6oHt3a6vNA.jpg,"2012-06-29",549368315,107,Released,Ted is coming.,Ted,,
72431,Red Tails,55.782,false,false,tt0485985,/k0q6OmVjVsMIocC3ovjh1Vzgx7J.jpg,,58000000,http://www.redtails2012.com/,en,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",/jiORLnBsGcVcqIibkGBE213zAyh.jpg,"2012-01-19",50365377,125,Released,High-Octane Action and Daring Dogfights!,Red Tails,,
75656,Now You See Me,78.825,false,false,tt1670345,/xEY0MV2jSQBz9iOJfCFvLTiPGMA.jpg,,75000000,null,en,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,/1Ieloyyw3ctpMMJqYa4QZYxWt4E.jpg,"2013-05-29",351723989,116,Released,"4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.",Now You See Me,,
76163,The Expendables 2,71.176,false,false,tt1764651,/41QdmNKbwmVD7R6A7hMqMe9FYMy.jpg,,100000000,null,en,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",/4EBO8aIeP2bF1jGpwbuRS4CFMca.jpg,"2012-08-08",314975955,103,Released,Back for War.,The Expendables 2,,
41733,Due Date,55.28,false,false,tt1231583,/st8hEUnz7LTwyGYTt70t9JAHuvb.jpg,,65000000,http://duedatemovie.warnerbros.com/,en,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the `no-fly` list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",/4dzo4uWmkgp20uwm0jpiduRtvju.jpg,"2010-11-04",211780824,95,Released,Leave your comfort zone.,Due Date,,
43959,Soul Surfer,61.864,false,false,tt1596346,/5v04MGdBWu8jgOAsZcnc2ABlotT.jpg,,18000000,http://www.soulsurferthemovie.com,en,"The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.",/urLCQDCOITabAud39ZwLbNFBrc4.jpg,"2011-04-08",47088990,112,Released,"When you come back from a loss, beat the odds, and never say never, you find a champion.",Soul Surfer,,
49026,The Dark Knight Rises,100.588,false,false,tt1345836,/cKPfiu9IcCW0fMdKdQBXe3PRtTZ.jpg,,250000000,http://www.thedarkknightrises.com/,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent`s crimes to protect the late attorney`s reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham`s finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,"2012-07-16",1081041287,165,Released,The Legend Ends,The Dark Knight Rises,,
49040,The Bourne Legacy,50.314,false,false,tt1194173,/akNBILfG0vh7WhuzjA1bXfrgpYI.jpg,,130000000,http://www.thebournelegacy.com,en,New CIA operative Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.,/ucqtAussxYNRw4lGvRaSbRJLskV.jpg,"2012-08-08",276572938,135,Released,There Was Never Just One,The Bourne Legacy,,
52520,Underworld: Awakening,92.405,false,false,tt1496025,/v63E5H5TD7Eay1gZPVt9ibP9riy.jpg,,70000000,https://www.sonypictures.com/movies/underworldawakening,en,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers` survival.",/jN0uuc8U6M3sTg9zEaliJV60Stf.jpg,"2012-01-19",160112671,88,Released,Vengeance Returns,Underworld: Awakening,,
43074,Ghostbusters,115.097,false,false,tt1289401,/3RWsSQlqzRjsuqSRmoyggy74UA7.jpg,,144000000,http://www.ghostbusters.com/,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,"2016-07-14",229147509,117,Released,Who You Gonna Call?,Ghostbusters,,
818192,Ida Red,1367.625,false,false,tt11388416,/weneJTnAb1IFI94SKcaXzBFmPKH.jpg,,12400000,null,en,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",/etMxKseW67499tUJonLNHXTF538.jpg,"2021-11-05",0,111,Released,null,Ida Red,,
119283,Parker,64.036,false,false,tt1904996,/qGtuuNro6M8Q3VFvmGJwFkg9bns.jpg,,35000000,null,en,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew`s latest heist.",/u1cl4RsdqMjolVVsHwiLRPN1CT2.jpg,"2013-01-23",46216641,118,Released,"To get away clean, you have to play dirty.",Parker,,
126889,Alien: Covenant,83.291,false,false,tt2316204,/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg,,97000000,https://www.20thcenturystudios.com/movies/alien-covenant,en,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship `Covenant` discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the `synthetic`, David, survivor of the doomed Prometheus expedition.",/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,"2017-05-09",232380243,122,Released,The path to paradise begins in hell.,Alien: Covenant,,
140607,Star Wars: The Force Awakens,92.414,false,false,tt2488496,/k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg,,245000000,http://www.starwars.com/films/star-wars-episode-vii,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,"2015-12-15",2068223624,136,Released,Every generation has a story.,Star Wars: The Force Awakens,,
135397,Jurassic World,101.209,false,false,tt0369610,/yOCRqvrRrxbs5FYq2pX1KtLJwmR.jpg,,150000000,http://www.jurassicworld.com/,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,"2015-06-06",1671713208,124,Released,The park is open.,Jurassic World,,
158015,The Purge,70.978,false,false,tt2184339,/siBfSB55FBc7IdvgtApq6NaXNHw.jpg,,3000000,null,en,"Given the country`s overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",/1x4fHaDdlpWT5P2UV4ClKguWbTE.jpg,"2013-05-31",89328627,86,Released,"One night a year, all crime is legal.",The Purge,,
166428,How to Train Your Dragon: The Hidden World,74.757,false,false,tt2386490,/lFwykSz3Ykj1Q3JXJURnGUTNf1o.jpg,,129000000,https://www.howtotrainyourdragon.com/,en,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,"2019-01-03",517526875,104,Released,The friendship of a lifetime,How to Train Your Dragon: The Hidden World,,
177572,Big Hero 6,153.52,false,false,tt2245084,/4s2d3xdyqotiVNHTlTlJjrr3q0H.jpg,,165000000,http://movies.disney.com/big-hero-6,en,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,"2014-10-24",657827828,102,Released,null,Big Hero 6,,
86331,Q,58.985,false,false,tt1879030,/q0eXltiQKRqD3qMdN3OC55O06Dy.jpg,,1344000,null,fr,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cécile, a character who symbolizes desire.",/nOBgorydp9U3ydSRoO2MaYZMwMT.jpg,"2011-10-06",0,103,Released,"Love, desire and complications...",Desire,,
76757,Jupiter Ascending,61.582,false,false,tt1617661,/lGD5itDKjoOYXaVXVmGgubWMB7M.jpg,,176000003,http://www.jupiterascending.com,en,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",/2NCcAZ3M3F0FxENYmammBknwpVn.jpg,"2015-02-04",183987723,127,Released,Expand your universe.,Jupiter Ascending,,
84226,The Day,61.841,false,false,tt1756799,/6axH52yRnDuj3ToK68tes9aDx3a.jpg,,0,null,en,"Open war against humanity rages. For five survivors – lost and on the run – the pursuit is relentless, the bullets are dwindling and the battle is everywhere. This is a 24-hour look into their lives.",/zNFCkFmgI4Dnv3UpC0lLM7jWhYU.jpg,"2011-09-15",0,85,Released,Fight. Or die.,The Day,,
100042,Dumb and Dumber To,56.502,false,false,tt2096672,/xrq3xdDCO6o25Q9I13LJYOGVryI.jpg,,40000000,null,en,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry`s newly discovered daughter, who was given up for adoption.",/mktwkMjmoR83eXNakk0M2nh1cty.jpg,"2014-11-12",169837010,110,Released,The Second Parts Are More Fools,Dumb and Dumber To,,
105379,Blood Money,50.668,false,false,tt2246595,/dkJzD9arPv4ivK1cLhxoTFHWDPm.jpg,,0,null,hi,"In South Africa, a young man living with his wife becomes embroiled in an illegal diamond business and with time finds his life changing.",/oX09oi63n3xlmaej3OvtA6PBQ4A.jpg,"2012-03-31",0,110,Released,Success comes at a price.,Blood Money,,
108083,Profumo,66.972,false,false,tt0093789,null,,0,null,it,A wife escapes her pressure-filled marriage only to have her husband haunt her literally and figuratively.,/8KBHWgpupmt4gXd38IgiRmE8F09.jpg,"1987-01-16",0,98,Released,Where fantasy becomes reality!,Bizarre,,
